"","Entity","Code","Day","restriction_gatherings"
"541","Mexico","MEX","2021-06-24",0
"542","Mexico","MEX","2021-06-25",0
"543","Mexico","MEX","2021-06-26",0
"544","Mexico","MEX","2021-06-27",0
"545","Mexico","MEX","2021-06-28",0
"546","Mexico","MEX","2021-06-29",0
"547","Mexico","MEX","2021-06-30",0
"548","Mexico","MEX","2021-07-01",0
"549","Mexico","MEX","2021-07-02",0
"550","Mexico","MEX","2021-07-03",0
"551","Mexico","MEX","2021-07-04",0
"552","Mexico","MEX","2021-07-05",0
"553","Mexico","MEX","2021-07-06",0
"554","Mexico","MEX","2021-07-07",0
"555","Mexico","MEX","2021-07-08",0
"556","Mexico","MEX","2021-07-09",0
"557","Mexico","MEX","2021-07-10",0
"558","Mexico","MEX","2021-07-11",0
"559","Mexico","MEX","2021-07-12",0
"560","Mexico","MEX","2021-07-13",0
"561","Mexico","MEX","2021-07-14",0
"562","Mexico","MEX","2021-07-15",0
"563","Mexico","MEX","2021-07-16",0
"564","Mexico","MEX","2021-07-17",0
"565","Mexico","MEX","2021-07-18",0
"566","Mexico","MEX","2021-07-19",0
"567","Mexico","MEX","2021-07-20",0
"568","Mexico","MEX","2021-07-21",0
"569","Mexico","MEX","2021-07-22",0
"570","Mexico","MEX","2021-07-23",0
"571","Mexico","MEX","2021-07-24",0
"572","Mexico","MEX","2021-07-25",0
"573","Mexico","MEX","2021-07-26",4
"574","Mexico","MEX","2021-07-27",4
"575","Mexico","MEX","2021-07-28",4
"576","Mexico","MEX","2021-07-29",4
"577","Mexico","MEX","2021-07-30",4
"578","Mexico","MEX","2021-07-31",4
"579","Mexico","MEX","2021-08-01",4
"580","Mexico","MEX","2021-08-02",4
"581","Mexico","MEX","2021-08-03",4
"582","Mexico","MEX","2021-08-04",4
"583","Mexico","MEX","2021-08-05",4
"584","Mexico","MEX","2021-08-06",4
"585","Mexico","MEX","2021-08-07",4
"586","Mexico","MEX","2021-08-08",4
"587","Mexico","MEX","2021-08-09",4
"588","Mexico","MEX","2021-08-10",4
"589","Mexico","MEX","2021-08-11",4
"590","Mexico","MEX","2021-08-12",4
"591","Mexico","MEX","2021-08-13",4
"592","Mexico","MEX","2021-08-14",4
"593","Mexico","MEX","2021-08-15",4
"594","Mexico","MEX","2021-08-16",4
"595","Mexico","MEX","2021-08-17",4
"596","Mexico","MEX","2021-08-18",4
"597","Mexico","MEX","2021-08-19",4
"598","Mexico","MEX","2021-08-20",4
"599","Mexico","MEX","2021-08-21",4
"600","Mexico","MEX","2021-08-22",4
"601","Mexico","MEX","2021-08-23",4
"602","Mexico","MEX","2021-08-24",4
"603","Mexico","MEX","2021-08-25",4
"604","Mexico","MEX","2021-08-26",4
"605","Mexico","MEX","2021-08-27",4
"606","Mexico","MEX","2021-08-28",4
"607","Mexico","MEX","2021-08-29",4
"608","Mexico","MEX","2021-08-30",4
"609","Mexico","MEX","2021-08-31",4
"610","Mexico","MEX","2021-09-01",4
"611","Mexico","MEX","2021-09-02",4
"612","Mexico","MEX","2021-09-03",4
"613","Mexico","MEX","2021-09-04",4
"614","Mexico","MEX","2021-09-05",4
"615","Mexico","MEX","2021-09-06",0
"616","Mexico","MEX","2021-09-07",0
"617","Mexico","MEX","2021-09-08",0
"618","Mexico","MEX","2021-09-09",0
"619","Mexico","MEX","2021-09-10",0
"620","Mexico","MEX","2021-09-11",0
"621","Mexico","MEX","2021-09-12",0
"622","Mexico","MEX","2021-09-13",0
"623","Mexico","MEX","2021-09-14",0
"624","Mexico","MEX","2021-09-15",0
"625","Mexico","MEX","2021-09-16",0
"626","Mexico","MEX","2021-09-17",0
"627","Mexico","MEX","2021-09-18",0
"628","Mexico","MEX","2021-09-19",0
"629","Mexico","MEX","2021-09-20",0
"630","Mexico","MEX","2021-09-21",0
"631","Mexico","MEX","2021-09-22",0
"632","Mexico","MEX","2021-09-23",0
"633","Mexico","MEX","2021-09-24",0
"634","Mexico","MEX","2021-09-25",0
"635","Mexico","MEX","2021-09-26",0
"636","Mexico","MEX","2021-09-27",0
"637","Mexico","MEX","2021-09-28",0
"638","Mexico","MEX","2021-09-29",0
"639","Mexico","MEX","2021-09-30",0
"640","Mexico","MEX","2021-10-01",0
"641","Mexico","MEX","2021-10-02",0
"642","Mexico","MEX","2021-10-03",0
"643","Mexico","MEX","2021-10-04",0
"644","Mexico","MEX","2021-10-05",0
"645","Mexico","MEX","2021-10-06",0
"646","Mexico","MEX","2021-10-07",0
"647","Mexico","MEX","2021-10-08",0
"648","Mexico","MEX","2021-10-09",0
"649","Mexico","MEX","2021-10-10",0
"650","Mexico","MEX","2021-10-11",0
"651","Mexico","MEX","2021-10-12",0
"652","Mexico","MEX","2021-10-13",0
"653","Mexico","MEX","2021-10-14",0
"654","Mexico","MEX","2021-10-15",0
"655","Mexico","MEX","2021-10-16",0
"656","Mexico","MEX","2021-10-17",0
"657","Mexico","MEX","2021-10-18",0
"658","Mexico","MEX","2021-10-19",0
"659","Mexico","MEX","2021-10-20",0
"660","Mexico","MEX","2021-10-21",0
"661","Mexico","MEX","2021-10-22",0
"662","Mexico","MEX","2021-10-23",0
